Model,MAE,MSE,R2
LinearRegression,82657.94605892441,10549721686.160313,0.9146454505137985
RobustRegression,199465.55955429352,61664910393.249626,0.5010881990728167
RidgeRegression,82659.67244409773,10549745186.670168,0.9146452603784101
LassoRegression,82657.94662172231,10549717660.356379,0.9146454830853384
ElasticNet,99126.80843102589,15081376466.559586,0.8779812271613102
PolynomialRegression,82894.44754893737,10604968576.361347,0.9141984649378844
SGDRegressor,2.776394282487334e+17,9.888258219273365e+34,-8.00028522663798e+23
ANN,199427.10333445037,61506845694.03024,0.5023670518798287
RandomForest,98770.9947443499,15201550353.185823,0.8770089372509097
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
